Active Safety Miles / Accident,Auto,Autopilot Miles / Accident,,Capital Expenditures,Cash,Cybertruck,Net Income,Energy,Energy Generation MW,Energy Storage MWh,Free Cash Flow,Gross Profit,Link,Model 3,Model S,Model X,Model Y,Net Income,Non-Autopilot Miles / Accident,Operating Cash Flow,Operating Expenses,Operating Income,Other OpEx,Outstanding Shares,Q,R&D,Revenue,SG&A,Semi,Service / Other,Stock Price,Supercharger Stations,US Miles / Accident,Q
,,,,68,219,,-90,,,,118,10,-,,,,,-90,,50,99,-89,,524,12 Q1,68,30,31,,,,,,12 Q1
,,,,61,211,,-106,,,,122,5,-,,,,,-106,,61,111,-106,,528,12 Q2,75,27,36,,,,,,12 Q2
,,,,68,86,,-111,,,,163,-9,-,,250,,,-111,,95,100,-108,,527.5,12 Q3,62,50,38,,,,,,12 Q3
,,,,-64,202,,-90,,,,-99,24,-,,2400,,,-90,,-35,115,-91,,536.5,12 Q4,69,306,46,,,,6,,12 Q4
,,,,-58,214,,11,,,,6,96,-,,4911,,,11,,64,102,-6,,573.5,13 Q1,55,562,47,,,,7,,13 Q1
,,,,-41,746,,-31,,,,-76,100,-,,5162,,,-31,,-35,112,-12,,586.5,13 Q2,52,405,60,,,,8,,13 Q2
,,,,-77,795,,-39,,,,25,103,-,,5512,,,-39,,102,133,-31,,609.5,13 Q3,56,431,77,,,,26,,13 Q3
,,,,-89,846,,-16,,,,45,157,-,,6892,,,-16,,134,170,-13,,597,13 Q4,68,615,101,,,,62,,13 Q4
,,,,-141,2583,,-50,,,,-83,155,-,,6457,,,-50,,59,199,-44,,617.5,14 Q1,82,621,118,,,46.9,91,,14 Q1
,,,,-176,2675,,-62,,,,-177,213,-,,7579,,,-62,,-2,242,-29,,621.5,14 Q2,108,769,134,,,41.8,119,,14 Q2
,,,,-284,2371,,-75,,,,-312,252,-,,7785,,,-75,,-28,291,-39,,624.5,14 Q3,136,852,155,,,49.5,192,,14 Q3
,,,,-369,1906,,-108,,,,-455,262,-,,9834,,,-108,,-86,337,-75,,622.5,14 Q4,140,957,197,,,46.9,304,,14 Q4
,893,,,-426,1510,,-154,,,,-558,260,-,,10045,,,-154,,-132,363,-102,,629.5,15 Q1,167,940,195,,47,40.5,373,,15 Q1
,878,,,-405,1151,,-184,,,,-565,213,-,,11532,,,-184,,-160,384,-170,,633.5,15 Q2,182,955,202,,77,47.4,416,,15 Q2
,853,,,-392,1426,,-230,,,,-596,232,-,,11597,6,,-230,,-203,415,-184,,645,15 Q3,179,937,236,,84,51,484,,15 Q3
,1117,,,-411,1197,,-320,,,,-441,219,-,,17272,206,,-320,,-30,479,-260,,655.5,15 Q4,190,1214,289,,97,44.9,555,,15 Q4
,1026,,,-217,1442,,-282,,,,-466,252,-,,12420,2400,,-282,,-250,501,-248,,663.5,16 Q1,182,1147,318,,121,39.5,583,,16 Q1
,1182,,,-295,3246,,-293,,,,-144,275,-,,9764,4638,,-293,,150,513,-238,,700,16 Q2,192,1270,321,,88,45.5,630,,16 Q2
,2149,,,-248,3084,,22,23,,,176,637,http://ir.tesla.com/common/download/download.cfm?companyid=A…pdate_Letter_-_final.pdf,,16047,8774,,22,,424,551,86,,745,16 Q3,214,2298,337,,126,43.3,715,,16 Q3
,1994,,,-681,3393,,-121,131,201,98,-1129,435,http://ir.tesla.com/common/download/download.cfm?companyid=A…etter_2016-4Q.pdf,,12700,9500,,-121,,-448,702,-267,,775.1,16 Q4,246,2284,456,,159,39.4,767,,16 Q4
,2290,,,-773,4007,,-330,214,150,8,-842,668,http://ir.tesla.com/common/download/download.cfm?companyid=A…Update_Letter.pdf,,13450,11550,,-330,,-70,926,-258,,810.5,17 Q1,322,2697,603,,193,50.8,807,,17 Q1
,2287,,,-1158,3036,,-336,287,176,97,-1358,667,http://ir.tesla.com/common/download/download.cfm?companyid=A…Letter_2017-2Q.pdf,,12000,10000,,-336,,-200,908,-241,,826,17 Q2,370,2790,538,,216,66,873,,17 Q2
,2363,,,-1244,3530,,-619,318,109,110,-1545,449,http://ir.tesla.com/common/download/download.cfm?companyid=A…r_2017-3Q.pdf,222,14065,11865,,-619,,-301,985,-536,,836.5,17 Q3,332,2985,653,,304,69.2,1000,,17 Q3
,2702,,,-906,3368,,-675,298,87,143,-396,439,http://ir.tesla.com/common/download/download.cfm?companyid=A…_2017-4Q.pdf,1542,15200,13120,,-675,,510,1037,-598,,841.6,17 Q4,355,3288,682,,288,65.3,1128,,17 Q4
